hospital_id,doctor_id,test_type,test_duration
2000,5000,X-Ray,117
2001,5001,CT Scan,103
2002,5002,CT Scan,55
2003,5003,MRI,131
2004,5004,CT Scan,35
2005,5005,CT Scan,111
2006,5006,Blood Test,71
2007,5007,Blood Test,85
2008,5008,Blood Test,146
2009,5009,X-Ray,42
2010,5010,Blood Test,43
2011,5011,CT Scan,37
2012,5012,Blood Test,151
2013,5013,MRI,58
2014,5014,X-Ray,76
2015,5015,Blood Test,27
2016,5016,CT Scan,126
2017,5017,MRI,94
2018,5018,X-Ray,157
2019,5019,MRI,100
2020,5020,MRI,33
2021,5021,Blood Test,50
2022,5022,Blood Test,37
2023,5023,X-Ray,134
2024,5024,MRI,116
2025,5025,MRI,76
2026,5026,Blood Test,141
2027,5027,CT Scan,130
2028,5028,MRI,53
2029,5029,MRI,175
2030,5030,Blood Test,159
2031,5031,X-Ray,172
2032,5032,X-Ray,121
2033,5033,X-Ray,166
2034,5034,X-Ray,145
2035,5035,MRI,88
2036,5036,Blood Test,79
2037,5037,Blood Test,57
2038,5038,MRI,76
2039,5039,X-Ray,24
2040,5040,CT Scan,167
2041,5041,Blood Test,64
2042,5042,X-Ray,62
2043,5043,MRI,129
2044,5044,X-Ray,117
2045,5045,CT Scan,128
2046,5046,CT Scan,51
2047,5047,MRI,93
2048,5048,X-Ray,51
2049,5049,CT Scan,91
2050,5050,Blood Test,118
2051,5051,MRI,124
2052,5052,Blood Test,42
2053,5053,CT Scan,113
2054,5054,CT Scan,135
2055,5055,X-Ray,92
2056,5056,X-Ray,158
2057,5057,Blood Test,172
2058,5058,MRI,72
2059,5059,MRI,85
2060,5060,X-Ray,23
2061,5061,MRI,83
2062,5062,CT Scan,83
2063,5063,MRI,112
2064,5064,MRI,34
2065,5065,CT Scan,179
2066,5066,X-Ray,178
2067,5067,Blood Test,86
2068,5068,CT Scan,158
2069,5069,MRI,150
2070,5070,MRI,55
2071,5071,CT Scan,100
2072,5072,MRI,85
2073,5073,CT Scan,108
2074,5074,X-Ray,38
2075,5075,MRI,83
2076,5076,MRI,133
2077,5077,Blood Test,19
2078,5078,Blood Test,34
