hospital_id,doctor_id,test_type,test_duration
2000,5000,1,117
2001,5001,2,103
2002,5002,2,55
2003,5003,3,131
2004,5004,2,35
2005,5005,2,111
2006,5006,0,71
2007,5007,0,85
2008,5008,0,146
2009,5009,1,42
2010,5010,0,43
2011,5011,2,37
2012,5012,0,151
2013,5013,3,58
2014,5014,1,76
2015,5015,0,27
2016,5016,2,126
2017,5017,3,94
2018,5018,1,157
2019,5019,3,100
2020,5020,3,33
2021,5021,0,50
2022,5022,0,37
2023,5023,1,134
2024,5024,3,116
2025,5025,3,76
2026,5026,0,141
2027,5027,2,130
2028,5028,3,53
2029,5029,3,175
2030,5030,0,159
2031,5031,1,172
2032,5032,1,121
2033,5033,1,166
2034,5034,1,145
2035,5035,3,88
2036,5036,0,79
2037,5037,0,57
2038,5038,3,76
2039,5039,1,24
2040,5040,2,167
2041,5041,0,64
2042,5042,1,62
2043,5043,3,129
2044,5044,1,117
2045,5045,2,128
2046,5046,2,51
2047,5047,3,93
2048,5048,1,51
2049,5049,2,91
2050,5050,0,118
2051,5051,3,124
2052,5052,0,42
2053,5053,2,113
2054,5054,2,135
2055,5055,1,92
2056,5056,1,158
2057,5057,0,172
2058,5058,3,72
2059,5059,3,85
2060,5060,1,23
2061,5061,3,83
2062,5062,2,83
2063,5063,3,112
2064,5064,3,34
2065,5065,2,179
2066,5066,1,178
2067,5067,0,86
2068,5068,2,158
2069,5069,3,150
2070,5070,3,55
2071,5071,2,100
2072,5072,3,85
2073,5073,2,108
2074,5074,1,38
2075,5075,3,83
2076,5076,3,133
2077,5077,0,19
2078,5078,0,34
2079,5079,2,104
2080,5080,0,84
2081,5081,2,105
2082,5082,0,147
2083,5083,2,134
2084,5084,2,124
2085,5085,2,124
2086,5086,0,49
2087,5087,2,144
2088,5088,0,72
2089,5089,2,84
2090,5090,2,150
2091,5091,2,143
2092,5092,1,64
2093,5093,0,119
2094,5094,0,150
2095,5095,3,83
2096,5096,0,73
2097,5097,0,61
2098,5098,0,121
2099,5099,3,90
2100,5100,0,169
2101,5101,1,172
2102,5102,3,126
2103,5103,3,92
2104,5104,0,21
2105,5105,1,159
2106,5106,2,21
2107,5107,1,141
2108,5108,0,23
2109,5109,1,128
2110,5110,3,34
2111,5111,0,136
2112,5112,3,104
2113,5113,2,111
2114,5114,0,22
2115,5115,2,127
2116,5116,2,123
2117,5117,2,90
2118,5118,2,28
2119,5119,2,160
2120,5120,0,77
2121,5121,2,103
2122,5122,1,89
2123,5123,1,42
2124,5124,2,120
2125,5125,2,147
2126,5126,2,92
2127,5127,2,166
2128,5128,3,178
2129,5129,0,21
2130,5130,0,104
2131,5131,1,112
2132,5132,3,50
2133,5133,2,145
2134,5134,3,73
2135,5135,0,66
2136,5136,3,62
2137,5137,2,128
2138,5138,3,133
2139,5139,1,156
2140,5140,2,60
2141,5141,2,82
2142,5142,0,116
2143,5143,0,98
2144,5144,1,59
2145,5145,1,119
2146,5146,3,86
2147,5147,0,139
2148,5148,0,37
2149,5149,3,70
2150,5150,0,17
2151,5151,1,88
2152,5152,0,162
2153,5153,3,76
2154,5154,1,21
2155,5155,1,131
2156,5156,2,79
2157,5157,3,104
2158,5158,1,137
2159,5159,2,101
2160,5160,0,97
2161,5161,0,30
2162,5162,3,33
2163,5163,2,99
2164,5164,3,99
2165,5165,2,24
2166,5166,1,30
2167,5167,1,158
2168,5168,1,102
2169,5169,0,56
2170,5170,0,30
2171,5171,2,28
2172,5172,0,92
2173,5173,3,137
2174,5174,0,48
2175,5175,1,108
2176,5176,3,30
2177,5177,0,177
2178,5178,2,81
2179,5179,0,108
2180,5180,0,128
2181,5181,2,112
2182,5182,0,160
2183,5183,2,54
2184,5184,2,173
2185,5185,0,140
2186,5186,1,172
2187,5187,0,69
2188,5188,1,61
2189,5189,1,38
2190,5190,0,17
2191,5191,0,48
2192,5192,0,153
2193,5193,0,41
2194,5194,0,111
2195,5195,3,28
2196,5196,2,93
2197,5197,3,171
2198,5198,0,63
2199,5199,2,179
2200,5200,0,74
2201,5201,2,88
2202,5202,0,97
2203,5203,0,133
2204,5204,3,110
2205,5205,3,62
2206,5206,0,175
2207,5207,2,77
2208,5208,1,39
2209,5209,2,152
2210,5210,0,34
2211,5211,3,64
2212,5212,2,21
2213,5213,3,129
2214,5214,1,152
2215,5215,2,68
2216,5216,2,161
2217,5217,2,20
2218,5218,2,67
2219,5219,1,167
2220,5220,1,130
2221,5221,1,42
2222,5222,1,125
2223,5223,0,177
2224,5224,0,173
2225,5225,0,60
2226,5226,0,88
2227,5227,0,68
2228,5228,2,40
2229,5229,1,89
2230,5230,2,58
2231,5231,0,46
2232,5232,0,40
2233,5233,0,67
2234,5234,2,39
2235,5235,3,83
2236,5236,1,79
2237,5237,3,159
2238,5238,1,55
2239,5239,2,48
2240,5240,3,134
2241,5241,1,99
2242,5242,1,91
2243,5243,2,62
2244,5244,3,59
2245,5245,2,179
2246,5246,1,126
2247,5247,0,54
2248,5248,0,118
2249,5249,0,32
2250,5250,2,113
2251,5251,3,18
2252,5252,3,61
2253,5253,1,65
2254,5254,1,162
2255,5255,1,132
2256,5256,0,140
2257,5257,0,103
2258,5258,1,58
2259,5259,2,31
2260,5260,0,62
2261,5261,0,61
2262,5262,0,20
2263,5263,1,47
2264,5264,0,79
2265,5265,2,84
2266,5266,2,157
2267,5267,2,30
2268,5268,2,111
2269,5269,1,42
2270,5270,3,30
2271,5271,0,30
2272,5272,0,149
2273,5273,3,52
2274,5274,2,83
2275,5275,3,55
2276,5276,3,79
2277,5277,0,139
2278,5278,1,105
2279,5279,2,71
2280,5280,3,111
2281,5281,1,32
2282,5282,3,96
2283,5283,2,38
2284,5284,2,24
2285,5285,2,38
2286,5286,2,113
2287,5287,2,164
2288,5288,0,96
2289,5289,0,86
2290,5290,2,65
2291,5291,2,51
2292,5292,2,25
2293,5293,0,138
2294,5294,0,28
2295,5295,3,108
2296,5296,1,46
2297,5297,1,100
2298,5298,3,106
2299,5299,0,168
2300,5300,1,106
2301,5301,2,110
2302,5302,0,161
2303,5303,2,64
2304,5304,1,69
2305,5305,1,143
2306,5306,0,58
2307,5307,0,165
2308,5308,3,128
2309,5309,3,103
2310,5310,1,71
2311,5311,3,81
2312,5312,0,179
2313,5313,1,30
2314,5314,0,57
2315,5315,3,27
2316,5316,0,26
2317,5317,3,48
2318,5318,3,58
2319,5319,2,73
2320,5320,0,131
2321,5321,2,56
2322,5322,3,47
2323,5323,3,171
2324,5324,0,133
2325,5325,1,161
2326,5326,2,86
2327,5327,1,27
2328,5328,0,75
2329,5329,3,42
2330,5330,3,137
2331,5331,2,132
2332,5332,1,124
2333,5333,2,30
2334,5334,2,158
2335,5335,3,142
2336,5336,2,79
2337,5337,0,25
2338,5338,3,119
2339,5339,2,23
2340,5340,0,93
2341,5341,1,159
2342,5342,2,91
2343,5343,3,145
2344,5344,1,39
2345,5345,1,40
2346,5346,3,60
2347,5347,0,68
2348,5348,1,164
2349,5349,2,153
2350,5350,3,84
2351,5351,1,25
2352,5352,3,132
2353,5353,3,88
2354,5354,1,32
2355,5355,3,169
2356,5356,1,51
2357,5357,2,152
2358,5358,2,164
2359,5359,3,140
2360,5360,1,169
2361,5361,2,168
2362,5362,1,76
2363,5363,3,94
2364,5364,1,169
2365,5365,1,111
2366,5366,1,143
2367,5367,1,31
2368,5368,0,38
2369,5369,2,122
2370,5370,0,142
2371,5371,2,120
2372,5372,0,35
2373,5373,1,35
2374,5374,3,156
2375,5375,2,101
2376,5376,3,123
2377,5377,0,22
2378,5378,3,105
2379,5379,1,152
2380,5380,2,50
2381,5381,1,21
2382,5382,2,111
2383,5383,1,106
2384,5384,1,120
2385,5385,0,28
2386,5386,0,141
2387,5387,1,130
2388,5388,1,179
2389,5389,2,135
2390,5390,3,128
2391,5391,0,110
2392,5392,1,105
2393,5393,1,158
2394,5394,2,53
2395,5395,3,133
2396,5396,1,33
2397,5397,2,29
2398,5398,2,17
2399,5399,2,96
2400,5400,0,110
2401,5401,3,74
2402,5402,0,36
2403,5403,0,140
2404,5404,2,88
2405,5405,3,53
2406,5406,2,129
2407,5407,3,171
2408,5408,2,40
2409,5409,2,154
2410,5410,2,143
2411,5411,3,85
2412,5412,3,171
2413,5413,1,89
2414,5414,0,146
2415,5415,1,66
2416,5416,1,93
2417,5417,1,99
2418,5418,1,167
2419,5419,2,87
2420,5420,1,38
2421,5421,3,165
2422,5422,0,71
2423,5423,1,69
2424,5424,1,17
2425,5425,3,30
2426,5426,0,39
2427,5427,0,77
2428,5428,1,166
2429,5429,1,136
2430,5430,0,115
2431,5431,1,49
2432,5432,3,150
2433,5433,2,157
2434,5434,0,59
2435,5435,1,19
2436,5436,2,58
2437,5437,1,58
2438,5438,0,157
2439,5439,3,147
2440,5440,1,169
2441,5441,0,66
2442,5442,0,52
2443,5443,3,100
2444,5444,1,146
2445,5445,1,98
2446,5446,2,130
2447,5447,3,70
2448,5448,2,159
2449,5449,1,141
2450,5450,2,111
2451,5451,2,66
2452,5452,1,92
2453,5453,2,108
2454,5454,1,70
2455,5455,0,41
2456,5456,2,146
2457,5457,3,45
2458,5458,0,67
2459,5459,1,54
2460,5460,3,96
2461,5461,3,24
2462,5462,2,159
2463,5463,2,98
2464,5464,3,83
2465,5465,2,65
2466,5466,0,102
2467,5467,2,134
2468,5468,0,118
2469,5469,2,124
2470,5470,0,26
2471,5471,0,52
2472,5472,0,42
2473,5473,0,21
2474,5474,3,43
2475,5475,3,37
2476,5476,0,97
2477,5477,0,155
2478,5478,1,113
2479,5479,2,49
2480,5480,2,176
2481,5481,1,35
2482,5482,2,85
2483,5483,0,142
2484,5484,1,172
2485,5485,2,35
2486,5486,2,48
2487,5487,0,124
2488,5488,1,158
2489,5489,3,160
2490,5490,2,77
2491,5491,0,48
2492,5492,3,65
2493,5493,3,53
2494,5494,3,114
2495,5495,0,126
2496,5496,3,140
2497,5497,1,142
2498,5498,0,162
2499,5499,1,67
2500,5500,1,62
2501,5501,1,64
2502,5502,2,128
2503,5503,0,104
2504,5504,0,118
2505,5505,3,32
2506,5506,0,153
2507,5507,0,46
2508,5508,2,137
2509,5509,0,98
2510,5510,3,158
2511,5511,0,113
2512,5512,1,40
2513,5513,3,111
2514,5514,2,81
2515,5515,3,139
2516,5516,3,34
2517,5517,3,157
2518,5518,2,64
2519,5519,1,31
2520,5520,0,109
2521,5521,2,139
2522,5522,1,98
2523,5523,2,58
2524,5524,0,32
2525,5525,0,100
2526,5526,2,140
2527,5527,1,89
2528,5528,0,33
2529,5529,1,29
2530,5530,3,52
2531,5531,1,22
2532,5532,1,56
2533,5533,0,112
2534,5534,1,30
2535,5535,0,115
2536,5536,3,101
2537,5537,0,108
2538,5538,3,144
2539,5539,2,132
2540,5540,1,83
2541,5541,1,141
2542,5542,1,77
2543,5543,2,15
2544,5544,2,115
